article_id,question,answer
6_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What reason did Charles Grassi give for cutting the deceased with a knife?,Grassi claimed he needed to defend himself as the deceased threatened to kill him and physically attacked him.
7_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What tragic event did Mr. Jay D. Van Buren witness on his way back from Washington Territory?,A man named George Knight committed suicide by jumping into the Columbia River from a transfer boat.
8_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What recent change has affected shippers' ability to send order-related kilograms free of charge?,The railroads have received notification that shippers must now pay for their own dispatches.
9_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who were the members of the Phillips excursion party from San Francisco?,"The members were G. D. Clymer, X. Jacobs, Mrs. A. M. Clark, Frank Hay, H. B. Philbrick, Mrs. J. M. Johnson, Miss Ivy Johnson, Master Harry Johnson, Mr. and Mrs. D. H. Aldrich, Dr. and Mrs. Crawford, Rev N. Founders and family, Vim Jackson and wife, Miss Mamie Barry, and Miss Rose Mcluskey."
10_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who left for San Francisco and the East by the afternoon train yesterday?,"T. Hamilton, W. A. Clinton, N.J. Hooper, G. Boardman, L. W. Blum, H. Neil, N. Chandler, Mr. Russell, S. O. Houghton, Mrs. M. A. Price, L. Berdega, A. Todd, J. Cohn, and Geo E. Jones."
12_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What news has been received by the ticket agents regarding cutting rates in San Francisco on eastern routes?,The ticket agents have received news that cutting rates is happening in San Francisco on eastern routes.
13_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What type of train cars are being built for the Southern Pacific and Union Pacific?,Passenger cars that will be an exact duplicate of those in the Golden Gate Special.
14_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who is Mr. L. A. Grant and what firm does he belong to?,"Mr. L. A. Grant is part of the firm of Grant Bros, the railroad contractors."
15_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Where is the athletic club being organized by the Southern Pacific's employees located?,The athletic club is located in the Ludnum block on Gan Fernando Street.
16_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who put the second class tourist sleeping cars on the Southern Pacific system between this city and Chicago?,Mr. Denison.
17_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,How many carloads of stock are coming into town from Arizona each week?,About fifty carloads a week are being received by the Southern Pacific.
18_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Where did the general baggage agents arrive according to schedule?,The general baggage agents arrived at the Nadeau.
19_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What can visitors expect to see at the exhibit in the Santa Fe offices on Spring Street?,Visitors can expect to see a splendid display of preserves and fruits of all descriptions.
20_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who is the contractor for the Los Angeles and Pacific Road?,Mr. Spillman is the contractor for the Los Angeles and Pacific Road.
22_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,What is the gem of the San Gabriel Valley?,"The property of San Gabriel Wine Co., originally owned."
26_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Where is the Plunder Store located?,The Plunder Store is located at 10 North Main Street.
41_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"What types of diseases of the throat and lungs can be successfully treated using oxygen inhalations, nitrogen monoxide, and ozone?","Diseases such as asthma, bronchitis, pneumonia, and emphysema can be effectively treated with these methods."
42_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"How can you ensure that the ham you are buying is of genuine ""Lilly"" quality?","Look for the ""Lilly"" branding on the ham."
67_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"What are the dimensions of the lot located at Olive St, between Seventh and Eighth?",The lot is 60x165.
68_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"What was the total amount of assets at the University Bank of Los Angeles on December 31, 1888?","The total amount of assets at the University Bank of Los Angeles on December 31, 1888, was $367,636.90."
79_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,Who is the president of the University Bank of Los Angeles?,R. M. Widney is the president of the University Bank of Los Angeles.
92_1889-01-23_p2_sn85042460_00280769241_1889012301_0236,"Where can you find a variety of stains and varnishes such as mahogany, walnut, cherry, and ebony?",At P.H. Mathews on Second and Los Angeles.
1_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,Who is the administrator of the estate of Matthias Miller?,William O'Gorman is the administrator.
4_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,Who made the assignment of all his property in the given context?,Cordy Edwards made the assignment of all his property.
5_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,"What is the date of the public auction for the steamboat and barge ""Sea Gull""?","Thursday, the seventh day of March, A.D. 1889."
8_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,What is the deadline for submitting proposals for field seeds at the White Earth Agency?,"The deadline is one o'clock on March 1st, 1889."
46_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,What is the specialty of Jameson Q Co. Steam Dive Works?,Gents' clothing
62_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,"What type of property is available for rent, sale, or trade?",A large general store and residence property with a heavy business history.
68_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,1. What types of items can you get a mortgage loan on from the Minnesota loan company?,"Furniture, pianos, horses, wagons, and more."
72_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,Who is offering money for loans on improved real estate in St. Paul?,"R. N. Newport & Son, investment bankers at 152, 153, and 154 Drake Block in St. Paul."
83_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,What is the name of the individual seeking a job in the drug and grocery business?,The individual seeking a job is geekk.
90_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,Where can I find honey loaned by Hunt Sewierrance?,81 East Third St. Room L.
115_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,What type of lessons are offered at the Academy of Music by Miss J. D. Hess?,"Lessons are given on piano, organ, guitar, violin, and mandolin."
118_1889-02-21_p7_sn90059522_00175033385_1889022101_0520,Where can a man apply for a job at a picture frame factory?,The man can apply at Bee Hive Enterprise on Seventh and Robert.
2_1889-08-17_p15_sn90050009_00393342948_1889081701_0601,What are some of the sounds that contribute to the sweet sounds of summer?,"The drone of beetle and bee, the murmurous hum of the sky, and the chirp of the cricket hidden out of sight."
3_1889-08-17_p15_sn90050009_00393342948_1889081701_0601,Who were some of the elected officials from Sheldon mentioned in the text?,"Scott M. Ladd, Judge Foursa District Y. Derby, County Treasurer Isaac Clements, Recorder of Deeds."
8_1889-08-17_p15_sn90050009_00393342948_1889081701_0601,What is the name of the magazine mentioned in the text?,"The magazine is called ""Aa0astne."""
13_1889-08-17_p15_sn90050009_00393342948_1889081701_0601,"Where are the counties of O'Brien, Sioux, Lyon, and Osceola located?","The counties of O'Brien, Sioux, Lyon, and Osceola are located in the northwestern part of Iowa."
22_1889-08-17_p15_sn90050009_00393342948_1889081701_0601,What material is this new mat made of?,The new mat is made of an absolutely pliable and elastic wire material.
1_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who went to San Pedro yesterday to superintend the laying out of the grounds and erecting of tents for the encampment?,"The district commander Nudge, quarter master Whitson, and sergeant major Cowles of the G.A.R."
2_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who recently issued a warning to the handlers of baggage?,Assistant Superintendent Muir issued the warning.
3_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,How many carriers were employed last month in the United States government's postal department according to Postmaster Preuss?,A total of 44 carriers were employed.
4_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who left for San Francisco on the 8:00 p.m. train yesterday?,"Miss Stella Auker, E. J. Baldwin, E. W. Jones, Mr. O'Connor, A. Phillips, J. E. Blair, Niles Pease, Mrs. Banning, T. H. Valentine, F.Grant, Colonel Kinney."
5_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who is the new proprietor of the Tusf Club Saloon in the Adam Block?,Mr. R. Adam is the new proprietor of the Tusf Club Saloon in the Adam Block.
7_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who is being sued by the Rowland District to quiet title to a piece of real estate?,Cayelono Castino and others
9_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,What condition is the remedy mentioned in the context said to provide a positive remedy for?,Consumption (tuberculosis).
10_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,What conditions is the guaranteed cure effective for?,"The cure is guaranteed for catarrh, cold in the head, hay fever, rose cold, catarrhal deafness, sore eyes, and to restore the sense of taste."
11_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,What products can you find at the headquarters of Hawley King Co. in South Carolina?,"Carts, buggies, carriages, agricultural implements, corn shellers, bone mills, poultry netting, grading plows, scrapers, and the American Champion grader."
12_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Who is now associated as a partner with Dr. S. Crawford?,Dr. A. P. Merrill from New York City.
17_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Where can one find special prices for lumber and manufacturing orders?,At Willamette Steam Mills Lumber and Manufacturing Company.
20_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,Q1: What is the amount of interest on bonds required for fiscal year 1870 for the interest and sinking fund?,"A1: $76,000"
51_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,What type of soil is present on the land adjacent to the town?,The soil on the land is rich sandy loam.
55_1889-08-06_p3_sn85042460_00280769277_1889080601_0307,What are the terms of sale for the lands described in the context?,"The lands are offered at bargain terms of sale - one fourth cash and the balance payable in one, two, and three years at a low rate of interest."
2_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,Who was about to start for Sudley to welcome his daughter on her arrival there?,"Colonel Forth was about to start for Sudley to welcome his daughter, Frances."
3_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,Who wrote to Colonel Forth from Trouville?,Major Audrey wrote to Colonel Forth from Trouville.
5_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,What did Frances say to Colonel Kenyon when she entered the room?,"""What do you think of me in my war paint?"""
9_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,"Who grumbled, raged, and worried while trying to find a house in the given context?","The man who ultimately got the house, Major Audley."
10_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,What was the vicar's opinion on Miss Forth's appearance?,"The vicar considered Miss Forth to be handsome, while Mrs. Appleby grudgingly admitted the same."
11_1889-03-31_p5_sn86063034_00414181995_1889033101_0715,What were the first words exchanged between Ruth and Audley in their new home?,The first words exchanged between them were full of bitterness.
1_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,Who presided over the organization of the Western Michigan Lumber Manufacturers and Wholesale Dealers Association?,T. Wright presided over the organization.
2_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,Who is the president of the J. 3 T. 1I L4 Z L S CL 4S AA1K IT. LS. LSLANI?,"The president is Mr. Ten Loose, aged 80."
3_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What is the context of the paragraph provided?,The paragraph discusses various topics related to contests and corporations.
7_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What was Mrs. L's age when she first presented with the cancerous face condition?,Mrs. L was 50 years old when she first presented with the cancerous face condition.
9_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What is the purpose of the passage provided?,To provide information about summer resorts and travel options.
10_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What is the address of the Michigan Trust Company VIII offices?,10 2l Fountain St.
17_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,"Who has returned from Fort Wayne, Indiana?",Samantha Southnaw
22_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What is the name of the trust company mentioned in the document?,Michigan Trust Company.
54_1889-07-19_p7_sn98066392_00296024430_1889071901_0008,What was the outcome of curing secondary syphilis with red clover in three months?,It was entirely cured with none of the after results typically seen with mercury treatment.
1_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,What play will Daniel Frohman's Lyceum Theater Company be performing tonight at the Grand Opera House?,"They will be performing the highly successful American play, ""The Wife."""
35_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,What types of fruits can be grown on the land adjacent to the town?,"The soil is rich sandy loam, ideal for the growth of lemon and all deciduous fruits."
38_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,What is the starting point of the procession in Los Angeles?,The starting point is Los Angeles Street.
6_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,"Who played the character ""Ejosenhine"" in the revival of Pinafore at the Los Angeles theater?","Miss Padelford played the character ""Ejosenhine."""
8_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,What exciting news has the Monrovia Messenger announced this week?,The establishment of a young ladies' seminary in Monrovia.
10_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,"Where can you find the largest and finest stock of dress goods, silks, and trimmings in Southern California?","At the City of Paris tents at Foy's Harness Shop, 217 Los Angeles Street."
12_1889-07-15_p3_sn85042460_00280769277_1889071501_0121,Who is expected to make a starring tour of America in the near future?,Alice Ingard
1_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What recent amendments were made to section 10 of the Interstate Commerce Act?,The amendments provide penalties for underbilling or any other device that allows transportation for goods at less than regular rates.
2_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What was the topic of the proposed amendments voted upon by the people in New Hampshire?,"Prohibition of the manufacture, sale, or keeping for sale of alcoholic or intoxicating liquor except cider."
3_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who are some of the guests staying at the St. Nicholas?,"John N.J. Bell, W. Fl. Dolan, A.L. Moffet, Tom Kelley, Mrs. Dram, Mrs. Rains, Kenneth McRae, Geo. McGregor, Miss C.O. Aylward, Miss Wallbank, F.G. Dale, W.J. Mcentire, W.H. Smith, Mrs. John N. Ming, Mrs. Cole, Postmaster Curtis, Vile, W.D. Womack, Judge Dingevon, Ed Martin, Mr. Bennett."
5_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,In which district court and for which county is the action between Nellie Andrews and Joseph Andrews taking place?,"The action is taking place in the district court of the second judicial district of the territory of Montana, in and for the county of Silver Bow."
6_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What was the outcome of the trial of William M. White for murder in March?,The jury brought in a verdict of not guilty.
7_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What position was John Suow appointed to by Sheriff Lloyd?,Special deputy sheriff
9_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What were the chief features in the recent events in the copper market?,The assumption of syndicate affairs management by the Matheson Company of London and a large loan made by the Bank of France are notable events.
10_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,How many individuals were registered at the close of last night's business?,"The number registered had reached 1,800, about 125 more than for the same time last year."
11_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who is recommended to be the governor of Montana?,Benjamin T. White of Dillon.
12_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Where was Dr. Schultz's practice located in Europe?,"Dr. Schultz's practice was formerly located in the city of Moscow, at the corner of Main St. and Broadway, Butte City."
15_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,How did Charles Brown commit suicide?,Charles Brown committed suicide by shooting himself in the head with a 34 caliber revolver.
17_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What did the man do that caught the eye of Mrs. Osborne?,Blowing his nose and taking out his handkerchief.
18_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who was nominated for the position of first assistant secretary of state?,Eugene Schuyler was nominated for the position.
19_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What was Mrs. Lindstrom's profession in Miles City?,She started a laundry on Washington Avenue.
20_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who is the administrator of the estate of Violet McBride?,C. N. Lawson is the administrator of the estate of Violet McBride.
21_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who has been authorized to refund your money if the California King of Cough Cures does not give satisfaction?,Jas. C. Singer.
22_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What are people massing their hangers for at the coming election?,They are massing their hangers for a raid on the ballot box.
23_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What is the current state of affairs on the isthmus of Panama?,Affairs on the isthmus of Panama are in critical condition.
24_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Why is it important for the city council to be elected this year?,It is important to ensure that the city council is accountable and represents the interests of all residents fairly.
25_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"What crime were the three individuals charged with in Albuquerque, New York?",They were charged with holding up a section house in Cubero.
26_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What financial house in London has taken over the sale of the bulk of copper previously held by the French copper syndicate?,Matheson & Co.
28_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"Where will the election for school trustees be held in district no. 8, Silver Bow County?",The election will be held at Melrose School House.
30_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"What does the tired, debilitated feeling in spring indicate?",It indicates depraved blood.
31_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who were the main figures involved in the fifth ward Republican primaries at the Butte City Hotel?,Jack Dowd and Boston Charley were prominent figures in the primaries.
32_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What was the resolution passed by the Senate on January 7th regarding the committee on mines and mining?,The resolution instructed the committee to ascertain the facts and circumstances related to suits brought by the United States against individuals for cutting timber in Nevada.
33_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What is the purpose of the notice given by the executor?,The purpose of the notice is to inform creditors and individuals with claims against the deceased to submit them to the executor.
35_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What was the woman's age and place of nativity?,The woman stated her age and place of nativity as Ohio.
36_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Who is St. John Baker and what did he do on March 25 in Boston?,St. John Baker of Gaudaur telegraphed Teemer that Gaudaur accepts his challenge to row a series of races for $500 per side.
44_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"Why is Mrs. Os. Byrne on trial at Wellsburg, W. Va.?",Mrs. Os. Byrne is on trial for attempting to take the life of a man named Campbell.
54_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"What is the name of the medicine praised by Dr. F. L. Morris from Brooklyn, N. Y.?",Ayers Cherry Pectoral
81_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,"What kind of ailments can the safe, time-tested remedies described in the context help with?","Rheumatism, falling hair, ague, eczema, old sores, ulcers, and painful swellings from any cause."
82_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,Where is Dr. Spinney's dispensary located?,"Dr. Spinney's dispensary is located at Clarendon House, 20 Main Ct, Butte City, Montana."
87_1889-03-27_pNone_sn84036034_00295860625_1889032701_0438,What are some symptoms associated with failing memory and lack of energy?,"Physically decaying, arising from indiscretion, excess or indulgence, producing nervousness and debility."
1_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,"What action was taken on the 29th day of August, A.D. 1889, in the case of Painter vs. Wright, Glass, and Galbraith?","An order of sale and decree of foreclosure and sale was issued by the Superior Court of the county of Los Angeles, state of California."
3_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What was the sum of money for which W. . Degarno obtained judgment and decree of foreclosure in the case against Widow Lucy Z. Bohannan and others?,"The sum was $1,274.25 in lawful money of the United States."
4_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the deadline for submitting proposals for the erection of school houses in Los Angeles?,"Proposals must be submitted by 10 o'clock p.m. on October 31, 1889."
5_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,Where was the assessment on the capital stock of the corporation announced?,"The assessment was announced at the Raw Library of Los Angeles, room IL 6, Law Building, Los Angeles, California."
7_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What was the tone of the stock market at the opening on October 10 in New York?,The stock market had a bullish tone at the opening.
9_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,"What was the ordinance number for the intention to open, widen, and extend Los Angeles Street?",Ordinance number 384 (new series).
10_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What are the coffee options closed at in New York in October?,Coffee options closed steady at 5.15 points.
11_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What was the price bid for brewing no. 1 barley on the exchange yesterday?,67½c.
13_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the deadline for receiving proposals to take and dispose of the sewage of the city of Los Angeles?,"Proposals will be received up to 10 o'clock a.m. on Monday, the 21st day of October, 1889."
14_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the intention of the council of the city of Los Angeles regarding the establishment of grades on Second Street?,The intention is to change and establish the grades at various corners of Second Street as specified in the ordinance.
16_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the deadline for submitting sealed proposals for furnishing desks to the board of education?,"The deadline is 4 o'clock pm on Monday, October 21st, 1889."
17_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the price of wheat per bushel in San Francisco in October?,The price of wheat per bushel in San Francisco in October is 3.50.
18_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,When was the ordinance of intention to construct sidewalk and curb adopted by the council of the city of Los Angeles?,On 1889.
19_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,"What was the firm name that was dissolved on March 23, 1889?","The firm name was Lacy, Ward & Company."
21_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,When was the ordinance to open and extend San Julian street passed by the council of the city of Los Angeles?,"The ordinance was passed on the 23rd day of September, 1889."
23_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the deadline for submitting sealed bids for the coal delivery contract?,"8 o'clock p.m., Monday, October 21st, 1889."
25_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,When was the dividend declared by the board of directors?,"The dividend was declared on September 30th, 1889."
26_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What was the date when the ordinance of intention was passed by the council of the city of Los Angeles?,"The ordinance of intention was passed on the 30th day of September, 1889."
27_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,Who are the partners in the business mentioned in the document?,The partners are W. Washburn and E. Washburn.
28_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the deadline for receiving sealed proposals for selling lots to the city of Los Angeles?,"Sealed proposals will be received up to 10 o'clock a.m. on October 9, 1889."
29_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,Where is the principal place of business located for the California Sewer Pipe Company?,"The principal place of business is in the city of Los Angeles, county of Los Angeles, state of California."
35_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the purpose of the meeting for property owners on First Street?,The meeting is for property owners interested in widening First Street from Los Angeles to Alameda streets.
51_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the total amount of loans and discounts reported in the financial statement?,"The total amount of loans and discounts reported is $411,990."
52_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What date was the order for the sale of stock by the California Sewer Pipe Company entered in the minutes of the board of directors?,"The order was entered in the minutes on October 5th, 1889."
63_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,"What is the purpose of selling shares of stock of the California Sewer Pipe Company on October 9th, 1889?",The shares will be sold to pay the costs of advertising and expenses of the sale.
68_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What does the doctor claim to cure permanently?,The doctor claims to cure impotency and lost manhood permanently.
70_1889-10-11_p7_sn85042460_00280769289_1889101101_0349,What is the purpose of the notice regarding the filing of the commissioners' report?,The purpose is to inform interested parties of the report and plat regarding the opening and extension of Sixth Street in Los Angeles.
1_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What is the significance of the rapid growth of church facilities west of the Mississippi River?,The increased demand for church facilities signifies the growth and development of the western communities.
2_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What does the law in Indiana state about vinegar production?,It must be made of pure apple juice.
3_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,Who was appointed to the position made vacant by the resignation of Tanner?,Green B. Raum was appointed to the position.
4_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,Why are the people of Omaha and Nebraska interested in the progress of Wyoming?,They have invested in Wyoming's mines and fields and take pride in her rapid progress towards statehood.
5_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What caused the delay in the publication of the newspaper this week?,An accident to the press caused the delay.
6_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,How far have the delegates to the Three Americas Conference traveled?,The delegates have traveled more than two thousand miles between the Atlantic seaboard and the Missouri River.
7_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What are the two main causes for the increasing repugnance among American youths towards trades and mercantile pursuits?,The increase of education and desire for high social standing are the main causes.
8_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,"What is the focus of the ""finger of manifest destiny"" towards the West Indian region?",The finger of manifest destiny is steadily fixed towards the rich islands of the West Indian region.
9_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,Who are the unsung heroes mentioned in the context?,Those who single-handedly fight against injustice and wrongdoing in humble anonymity.
10_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What has been the impact of the Union Pacific Alliance on the transcontinental railroad systems?,"The alliance has shaken every transcontinental system and connections to its foundations, sparking speculation and dread among rival lines."
11_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,What countries participated in the Congress of the Three Americas?,"Mexico, Costa Rica, Guatemala, Honduras, Nicaragua, El Salvador, Colombia, Chile, and Argentina."
12_1889-10-27_p8_sn99021999_00206539641_1889102701_0989,When did the Omaha Sunday Bee arrive under the latest management?,The Omaha Sunday Bee arrived Sunday morning for the first time under the latest management.
